"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"09Apr2014.Plate.24"	6	3	n	1	0.0	0.32
DMSO	"03Sep2014.Plate.19"	6	3	n	1	0.0	0.25
DMSO	"09Apr2014.Plate.31"	6	3	n	1	0.0	0.29
DMSO	"20130320.Plate.1"	2	3	n	1	0.0	0.14142135623731
DMSO	"09Apr2014.Plate.8"	6	3	n	1	0.0	0.27
DMSO	"02Apr2014.Plate.1"	6	2	n	1	0.0	0.33
DMSO	"20130320.Plate.13"	2	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.4"	6	3	n	1	0.0	1.07
DMSO	"10Jun2015.Plate.12"	6	3	n	1	0.0	1.08
DMSO	"26Mar2014.Plate.15"	6	3	n	1	0.0	0.5
DMSO	"09Apr2014.Plate.17"	6	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.17"	6	3	n	1	0.0	0.22
DMSO	"20130320.Plate.3"	2	3	n	1	0.0	0.49
DMSO	"10Jun2015.Plate.20"	6	3	n	1	0.0	1.0
DMSO	"03Sep2014.Plate.11"	6	3	n	1	0.0	0.31
DMSO	"26Mar2014.Plate.3"	7	3	n	1	0.0	0.53
DMSO	"02Apr2014.Plate.24"	6	3	n	1	0.0	0.25
DMSO	"20130320.Plate.7"	6	3	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.29"	6	3	n	1	0.0	0.97
DMSO	"03Sep2014.Plate.2"	6	3	n	1	0.0	0.3
DMSO	"02Apr2014.Plate.31"	6	3	n	1	0.0	0.26
DMSO	"20130321.Plate.2"	6	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.36"	6	3	n	1	0.0	0.97
DMSO	"03Sep2014.Plate.8"	6	3	n	1	0.0	0.37
DMSO	"09Apr2014.Plate.1"	6	3	n	1	0.0	0.4
DMSO	"20130321.Plate.6"	6	3	n	1	0.0	0.28
DMSO	"09Apr2014.Plate.24"	7	3	n	1	0.0	0.56
DMSO	"03Sep2014.Plate.19"	7	3	n	1	0.0	0.31
DMSO	"09Apr2014.Plate.31"	7	3	n	1	0.0	0.35
DMSO	"20130320.Plate.1"	6	3	n	1	0.0	0.14142135623731
DMSO	"09Apr2014.Plate.8"	7	3	n	1	0.0	0.23
DMSO	"02Apr2014.Plate.1"	7	2	n	1	0.0	0.36
DMSO	"20130320.Plate.13"	6	3	n	1	0.0	0.43
DMSO	"10Jun2015.Plate.4"	7	3	n	1	0.0	1.1
DMSO	"10Jun2015.Plate.13"	6	3	n	1	0.0	0.92
DMSO	"26Mar2014.Plate.15"	7	3	n	1	0.0	0.47
DMSO	"09Apr2014.Plate.17"	7	3	n	1	0.0	0.3
DMSO	"02Apr2014.Plate.17"	7	3	n	1	0.0	0.25
DMSO	"20130320.Plate.3"	6	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.20"	7	3	n	1	0.0	0.92
DMSO	"03Sep2014.Plate.11"	7	3	n	1	0.0	0.37
DMSO	"26Mar2014.Plate.4"	6	3	n	1	0.0	0.43
DMSO	"02Apr2014.Plate.24"	7	3	n	1	0.0	0.31
DMSO	"20130320.Plate.7"	7	3	n	1	0.0	0.38
DMSO	"10Jun2015.Plate.29"	7	3	n	1	0.0	1.04
DMSO	"03Sep2014.Plate.2"	7	3	n	1	0.0	0.31
DMSO	"02Apr2014.Plate.31"	7	3	n	1	0.0	0.27
DMSO	"20130321.Plate.2"	7	3	n	1	0.0	0.32
DMSO	"10Jun2015.Plate.36"	7	3	n	1	0.0	1.0
DMSO	"03Sep2014.Plate.8"	7	3	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.1"	7	3	n	1	0.0	0.4
DMSO	"20130321.Plate.6"	7	3	n	1	0.0	0.22
DMSO	"09Apr2014.Plate.25"	6	3	n	1	0.0	0.34
DMSO	"09Apr2014.Plate.29"	6	3	n	1	0.0	0.27
DMSO	"03Sep2014.Plate.20"	6	3	n	1	0.0	0.27
DMSO	"09Apr2014.Plate.32"	6	3	n	1	0.0	0.29
DMSO	"20130320.Plate.1"	7	3	n	1	0.0	0.2
DMSO	"09Apr2014.Plate.5"	6	3	n	1	0.0	0.36
DMSO	"20130320.Plate.11"	7	3	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.9"	6	3	n	1	0.0	0.31
DMSO	"02Apr2014.Plate.10"	6	3	n	1	0.0	0.23
DMSO	"20130320.Plate.13"	7	3	n	1	0.0	0.32
DMSO	"10Jun2015.Plate.40"	6	3	n	1	0.0	0.82
DMSO	"26Mar2014.Plate.12"	6	3	n	1	0.0	0.47
DMSO	"09Apr2014.Plate.14"	6	3	n	1	0.0	0.4
DMSO	"02Apr2014.Plate.14"	6	3	n	1	0.0	0.27
DMSO	"20130321.Plate.9"	2	2	n	1	0.0	0.33
DMSO	"20130320.Plate.15"	7	3	n	1	0.0	0.38
DMSO	"10Jun2015.Plate.5"	6	3	n	1	0.0	0.9
DMSO	"10Jun2015.Plate.14"	6	3	n	1	0.0	1.11
DMSO	"26Mar2014.Plate.16"	7	3	n	1	0.0	0.54
DMSO	"09Apr2014.Plate.18"	6	3	n	1	0.0	0.31
DMSO	"02Apr2014.Plate.18"	6	3	n	1	0.0	0.24
DMSO	"20130320.Plate.3"	7	3	n	1	0.0	0.52
DMSO	"10Jun2015.Plate.9"	6	3	n	1	0.0	1.01
DMSO	"10Jun2015.Plate.18"	6	3	n	1	0.0	1.15
DMSO	"26Mar2014.Plate.2"	7	3	n	1	0.0	0.47
DMSO	"09Apr2014.Plate.21"	6	3	n	1	0.0	0.35
DMSO	"02Apr2014.Plate.21"	6	3	n	1	0.0	0.21
DMSO	"20130320.Plate.5"	7	3	n	1	0.0	0.42
DMSO	"10Jun2015.Plate.21"	6	3	n	1	0.0	0.91
DMSO	"03Sep2014.Plate.12"	6	3	n	1	0.0	0.27
DMSO	"26Mar2014.Plate.4"	7	3	n	1	0.0	0.46
DMSO	"02Apr2014.Plate.25"	6	3	n	1	0.0	0.22
DMSO	"20130320.Plate.8"	2	2	n	1	0.0	0.42
DMSO	"10Jun2015.Plate.25"	6	3	n	1	0.0	1.01
DMSO	"03Sep2014.Plate.16"	6	3	n	1	0.0	0.14142135623731
DMSO	"26Mar2014.Plate.8"	7	3	n	1	0.0	0.47
DMSO	"02Apr2014.Plate.29"	6	3	n	1	0.0	0.29
DMSO	"20130321.Plate.1"	2	2	n	1	0.0	0.31
DMSO	"10Jun2015.Plate.2"	6	3	n	1	0.0	1.15
DMSO	"03Sep2014.Plate.21"	6	3	n	1	0.0	0.28
DMSO	"02Apr2014.Plate.32"	6	3	n	1	0.0	0.2
DMSO	"20130321.Plate.3"	2	2	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.33"	6	3	n	1	0.0	0.9
DMSO	"03Sep2014.Plate.5"	6	3	n	1	0.0	0.28
DMSO	"02Apr2014.Plate.7"	6	3	n	1	0.0	0.27
DMSO	"20130321.Plate.5"	2	2	n	1	0.0	0.3
DMSO	"10Jun2015.Plate.37"	6	3	n	1	0.0	0.99
DMSO	"03Sep2014.Plate.9"	6	3	n	1	0.0	0.27
DMSO	"09Apr2014.Plate.10"	6	3	n	1	0.0	0.35
DMSO	"20130321.Plate.7"	2	2	n	1	0.0	0.18
DMSO	"09Apr2014.Plate.25"	7	3	n	1	0.0	0.34
DMSO	"09Apr2014.Plate.29"	7	3	n	1	0.0	0.29
DMSO	"03Sep2014.Plate.20"	7	3	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.32"	7	3	n	1	0.0	0.27
DMSO	"20130320.Plate.10"	2	2	n	1	0.0	0.42
DMSO	"09Apr2014.Plate.5"	7	3	n	1	0.0	0.34
DMSO	"20130320.Plate.12"	2	2	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.9"	7	3	n	1	0.0	0.31
DMSO	"02Apr2014.Plate.10"	7	3	n	1	0.0	0.31
DMSO	"20130320.Plate.14"	2	2	n	1	0.0	0.3
DMSO	"10Jun2015.Plate.40"	7	3	n	1	0.0	0.79
DMSO	"26Mar2014.Plate.12"	7	3	n	1	0.0	0.49
DMSO	"09Apr2014.Plate.14"	7	3	n	1	0.0	0.4
DMSO	"02Apr2014.Plate.14"	7	3	n	1	0.0	0.26
DMSO	"20130321.Plate.9"	2	3	n	1	0.0	0.26
DMSO	"20130320.Plate.2"	2	2	n	1	0.0	0.42
DMSO	"10Jun2015.Plate.5"	7	3	n	1	0.0	1.07
DMSO	"10Jun2015.Plate.14"	7	3	n	1	0.0	1.12
DMSO	"26Mar2014.Plate.17"	6	3	n	1	0.0	0.53
DMSO	"09Apr2014.Plate.18"	7	3	n	1	0.0	0.29
DMSO	"02Apr2014.Plate.18"	7	3	n	1	0.0	0.25
DMSO	"20130320.Plate.4"	2	2	n	1	0.0	0.49
DMSO	"10Jun2015.Plate.9"	7	3	n	1	0.0	1.06
DMSO	"10Jun2015.Plate.18"	7	3	n	1	0.0	1.08
DMSO	"26Mar2014.Plate.20"	6	3	n	1	0.0	0.49
DMSO	"09Apr2014.Plate.21"	7	3	n	1	0.0	0.49
DMSO	"02Apr2014.Plate.21"	7	3	n	1	0.0	0.22
DMSO	"20130320.Plate.6"	2	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.21"	7	3	n	1	0.0	1.02
DMSO	"03Sep2014.Plate.12"	7	3	n	1	0.0	0.3
DMSO	"26Mar2014.Plate.5"	6	3	n	1	0.0	0.46
DMSO	"02Apr2014.Plate.25"	7	3	n	1	0.0	0.23
DMSO	"20130320.Plate.8"	2	3	n	1	0.0	0.4
DMSO	"10Jun2015.Plate.25"	7	3	n	1	0.0	0.97
DMSO	"03Sep2014.Plate.16"	7	3	n	1	0.0	0.27
DMSO	"26Mar2014.Plate.9"	6	3	n	1	0.0	0.55
DMSO	"02Apr2014.Plate.29"	7	3	n	1	0.0	0.33
DMSO	"20130321.Plate.1"	2	3	n	1	0.0	0.37
DMSO	"10Jun2015.Plate.2"	7	3	n	1	0.0	1.14
DMSO	"03Sep2014.Plate.21"	7	3	n	1	0.0	0.33
DMSO	"02Apr2014.Plate.32"	7	3	n	1	0.0	0.24
DMSO	"20130321.Plate.3"	2	3	n	1	0.0	0.31
DMSO	"10Jun2015.Plate.33"	7	3	n	1	0.0	0.83
DMSO	"03Sep2014.Plate.5"	7	3	n	1	0.0	0.35
DMSO	"02Apr2014.Plate.7"	7	3	n	1	0.0	0.28
DMSO	"20130321.Plate.5"	2	3	n	1	0.0	0.32
DMSO	"10Jun2015.Plate.37"	7	3	n	1	0.0	0.92
DMSO	"03Sep2014.Plate.9"	7	3	n	1	0.0	0.27
DMSO	"09Apr2014.Plate.10"	7	3	n	1	0.0	0.32
DMSO	"20130321.Plate.7"	2	3	n	1	0.0	0.21
DMSO	"09Apr2014.Plate.26"	6	3	n	1	0.0	0.33
DMSO	"09Apr2014.Plate.3"	6	3	n	1	0.0	0.35
DMSO	"09Apr2014.Plate.33"	6	3	n	1	0.0	0.22
DMSO	"20130320.Plate.10"	2	3	n	1	0.0	0.4
DMSO	"09Apr2014.Plate.6"	6	3	n	1	0.0	0.4
DMSO	"20130320.Plate.12"	2	3	n	1	0.0	0.35
DMSO	"10Jun2015.Plate.38"	6	3	n	1	0.0	1.05
DMSO	"26Mar2014.Plate.1"	6	3	n	1	0.0	0.47
DMSO	"09Apr2014.Plate.11"	6	3	n	1	0.0	0.35
DMSO	"02Apr2014.Plate.11"	6	3	n	1	0.0	0.34
DMSO	"20130321.Plate.7"	6	3	n	1	0.0	0.22
DMSO	"20130320.Plate.14"	2	3	n	1	0.0	0.31
DMSO	"10Jun2015.Plate.41"	6	3	n	1	0.0	0.92
DMSO	"10Jun2015.Plate.10"	6	3	n	1	0.0	1.09
DMSO	"26Mar2014.Plate.13"	6	3	n	1	0.0	0.53
DMSO	"09Apr2014.Plate.15"	6	3	n	1	0.0	0.35
DMSO	"02Apr2014.Plate.15"	6	3	n	1	0.0	0.27
DMSO	"20130321.Plate.9"	6	3	n	1	0.0	0.35
DMSO	"20130320.Plate.2"	2	3	n	1	0.0	0.46
DMSO	"10Jun2015.Plate.6"	6	3	n	1	0.0	1.07
DMSO	"10Jun2015.Plate.15"	6	3	n	1	0.0	1.19
DMSO	"26Mar2014.Plate.17"	7	3	n	1	0.0	0.59
DMSO	"09Apr2014.Plate.19"	6	3	n	1	0.0	0.34
DMSO	"02Apr2014.Plate.19"	6	3	n	1	0.0	0.27
DMSO	"20130320.Plate.4"	2	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.19"	6	3	n	1	0.0	1.1
DMSO	"03Sep2014.Plate.1"	6	3	n	1	0.0	0.33
DMSO	"26Mar2014.Plate.20"	7	3	n	1	0.0	0.54
DMSO	"09Apr2014.Plate.22"	6	3	n	1	0.0	0.3
DMSO	"02Apr2014.Plate.22"	6	3	n	1	0.0	0.27
DMSO	"20130320.Plate.6"	6	3	n	1	0.0	0.45
DMSO	"10Jun2015.Plate.22"	6	3	n	1	0.0	1.0
DMSO	"03Sep2014.Plate.13"	6	3	n	1	0.0	0.28
DMSO	"26Mar2014.Plate.5"	7	3	n	1	0.0	0.5
DMSO	"02Apr2014.Plate.26"	6	3	n	1	0.0	0.28
DMSO	"20130320.Plate.8"	6	3	n	1	0.0	0.38
DMSO	"10Jun2015.Plate.26"	6	3	n	1	0.0	1.01
DMSO	"03Sep2014.Plate.17"	6	3	n	1	0.0	0.29
DMSO	"26Mar2014.Plate.9"	7	3	n	1	0.0	0.53
DMSO	"02Apr2014.Plate.3"	6	3	n	1	0.0	0.3
DMSO	"20130321.Plate.1"	6	3	n	1	0.0	0.46
DMSO	"10Jun2015.Plate.30"	6	3	n	1	0.0	0.94
DMSO	"03Sep2014.Plate.22"	6	3	n	1	0.0	0.24
DMSO	"02Apr2014.Plate.4"	6	3	n	1	0.0	0.14142135623731
DMSO	"20130321.Plate.3"	6	3	n	1	0.0	0.38
DMSO	"10Jun2015.Plate.34"	6	3	n	1	0.0	0.99
DMSO	"03Sep2014.Plate.6"	6	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.8"	6	3	n	1	0.0	0.32
DMSO	"20130321.Plate.5"	6	3	n	1	0.0	0.31
DMSO	"09Apr2014.Plate.26"	7	3	n	1	0.0	0.3
DMSO	"09Apr2014.Plate.3"	7	3	n	1	0.0	0.38
DMSO	"09Apr2014.Plate.33"	7	3	n	1	0.0	0.31
DMSO	"20130320.Plate.10"	6	3	n	1	0.0	0.46
DMSO	"09Apr2014.Plate.6"	7	3	n	1	0.0	0.4
DMSO	"20130320.Plate.12"	6	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.38"	7	3	n	1	0.0	0.99
DMSO	"26Mar2014.Plate.1"	7	3	n	1	0.0	0.48
DMSO	"09Apr2014.Plate.11"	7	3	n	1	0.0	0.41
DMSO	"02Apr2014.Plate.11"	7	3	n	1	0.0	0.3
DMSO	"20130321.Plate.7"	7	3	n	1	0.0	0.16
DMSO	"20130320.Plate.14"	6	3	n	1	0.0	0.35
DMSO	"10Jun2015.Plate.41"	7	3	n	1	0.0	0.87
DMSO	"10Jun2015.Plate.10"	7	3	n	1	0.0	1.0
DMSO	"26Mar2014.Plate.13"	7	3	n	1	0.0	0.51
DMSO	"09Apr2014.Plate.15"	7	3	n	1	0.0	0.25
